Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),2022 Total reported emissions from Gathering & Boosting ,2021 Total reported emissions from Gathering & Boosting ,2020 Total reported emissions from Gathering & Boosting ,2019 Total reported emissions from Gathering & Boosting ,2018 Total reported emissions from Gathering & Boosting ,2017 Total reported emissions from Gathering & Boosting ,2016 Total reported emissions from Gathering & Boosting ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012996,110071161825,"Brazos Delaware Gas, LLC 430 Permian GB",430 - Permian Basin,Fort Worth,TX,76107,"3017 W. 7th St, suite 300",TARRANT COUNTY,32.75108,-97.36075,486210,W-GB,525651.268,376912.398,302423.402,213724.83,161525.07,128057.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012761,110070069804,CNX Gas Company LLC - 160 Appalachian Basin - GB,160 - Appalachian Basin,Canonsburg,PA,15317,1000 CONSOL Energy Drive,WASHINGTON COUNTY,40.27724,-80.16623,213112,W-GB,,248.85,247.85,94.25,370.6,37226.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012729,110070069804,CNX Gas Company LLC - 160A Appalachian Basin Eastern Overthrust Area - GB,160A - Appalachian Basin (Eastern Overthrust Area),Canonsburg,PA,15317,1000 CONSOL Energy Drive,WASHINGTON COUNTY,40.27724,-80.16623,213112,W-GB,,,80808.79,129459.734,40761.78,113178.248,132340.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012762,110070069804,CNX Midstream Operating Company LLC - 160A Appalachian Basin Eastern Overthrust Area - GB,160A - Appalachian Basin (Eastern Overthrust Area),Canonsburg,PA,15317,1000 CONSOL Energy Drive,WASHINGTON COUNTY,40.27724,-80.16623,486210,W-GB,354085.538,365665.83,249397.706,214679.638,220837.572,357355.66,129324.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012708,110071088704,COTERRA ENERGY - 430 - PERMIAN BASIN GATHERING AND BOOSTING,430 - Permian Basin,Houston,TX,77024,840 Gessner Road,TULSA COUNTY,36.1532,-95.993924,211130,W-GB,786175.79,728900.94,729591.06,860622.436,840801.972,712059.386,566520.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013712,110058239106,CRI 395 G&B Williston,395 - Williston Basin,Oklahoma City,OK,73102,20 N. Broadway,OKLAHOMA COUNTY,35.46735,-97.5145,211120,W-GB,39341.384,33387.608,37622.54,42436.282,38162.454,33324.03,29985.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014377,110058239106,CRI 430 G&B Permian,430 - Permian Basin,Oklahoma City,OK,73102,20 N Broadway,OKLAHOMA COUNTY,35.46735,-97.5145,211120,W-GB,127018.95,124334.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012361,110070082251,CRPC  Sacramento Valley Basin Gathering and Boosting,730 - Sacramento Basin,Bakersfield,CA,93311,"900 Old River Road, Plaza",,35.1268513,-119.1855785,211130,W-GB,103568.364,106613.108,160583.302,136443.85,146848.234,166318.164,198138.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012360,110070082250,CRPC - San Joaquin Valley Gathering and Boosting,745 - San Joaquin Basin,Bakersfield,CA,93311,"900 Old River Road, Plaza",,35.1268513,-119.1855785,211120,W-GB,734463.388,1029757.936,1032111.938,1033236.146,1310228.598,1498936.642,1624683.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011304,110058379954,CS1,395 - Williston Basin,Fortuna,ND,58844,14085 105th Street NW,DIVIDE,48.938161,-103.746766,211112,W-GB,,,,,,11811.574,7947.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014688,,Caballo Loco Midstream,430 - Permian Basin,McCamey,TX,79752,7 miles South of McCamey FM 1901,,31.0612888,-102.3184307,211130,W-GB,24687.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
